,Player,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,as_caliber,PC1,PC2,Cluster
667,Nikola Mirotic\mirotni01,PF,26,NOP,30,11,872,8.9,20.9,0.4270000000000001,3.6,10.8,0.335,5.3,10.1,0.524,2.6,3.2,0.81,2.2,11.2,13.5,2.2,1.6,1.4,1.7,3.4,24.0,107.0,106,16.3,0.539,0.516,0.152,5.3,24.6,15.3,6.8,1.6,2.4,7.1,21.8,0.7,1.2,1.9,0.106,0.0,-0.2,-0.2,0.4,0,-1.203737076691197,-1.7709302129089641,3
668,Donovan Mitchell\mitchdo01,SG,21,UTA,79,71,2638,11.3,25.9,0.4370000000000001,3.6,10.5,0.34,7.8,15.4,0.502,4.5,5.6,0.805,1.0,4.6,5.6,5.5,2.2,0.5,4.1,4.0,30.7,103.0,105,16.7,0.541,0.404,0.218,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,1.4,3.8,5.2,0.095,1.3,-0.2,1.1,2.1,0,1.589066065764323,-0.9941531908722934,0
669,Naz Mitrou-Long\mitrona01,SG,24,UTA,1,0,1,50.1,50.1,1.0,50.1,50.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.4,300.0,113,133.8,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.1,0.0,0.1,2.712,68.6,-14.2,54.4,0.0,0,0.8626003351997265,-2.2764857159082372,5
670,Malik Monk\monkma01,SG,19,CHO,63,0,854,8.7,24.3,0.36,4.7,13.9,0.342,4.0,10.4,0.385,1.8,2.2,0.8420000000000001,0.5,3.3,3.8,5.2,1.1,0.5,2.8,3.4,24.0,96.0,112,10.3,0.477,0.5720000000000001,0.08900000000000001,1.0,7.5,4.2,16.9,1.1,0.9,10.0,24.9,-0.5,0.5,0.0,0.0,-1.0,-3.4,-4.4,-0.5,0,2.2749224188736523,-0.07090401053769985,2
671,Greg Monroe\monrogr01,C,27,TOT,51,14,1040,10.3,18.2,0.565,0.0,0.0,0.0,10.3,18.2,0.565,4.1,5.6,0.7390000000000001,5.1,11.4,16.5,5.4,2.1,1.1,4.4,4.5,24.7,112.0,105,21.2,0.598,0.0,0.308,11.4,25.2,18.3,18.7,2.1,1.8,17.7,22.4,1.8,1.6,3.4,0.155,0.1,2.3,2.4,1.2,0,-2.7567216339765976,1.7589596789945134,1
672,Greg Monroe\monrogr01,C,27,TOT,51,14,1040,10.3,18.2,0.565,0.0,0.0,0.0,10.3,18.2,0.565,4.1,5.6,0.7390000000000001,5.1,11.4,16.5,5.4,2.1,1.1,4.4,4.5,24.7,112.0,105,11.1,0.489,0.0,0.121,8.9,28.1,18.5,10.2,0.0,0.0,14.7,23.3,-0.1,0.0,0.0,-0.013,-6.1,-3.5,-9.6,-0.2,0,-1.6820855668305805,1.7240269027524773,6
673,Greg Monroe\monrogr01,C,27,TOT,51,14,1040,10.3,18.2,0.565,0.0,0.0,0.0,10.3,18.2,0.565,4.1,5.6,0.7390000000000001,5.1,11.4,16.5,5.4,2.1,1.1,4.4,4.5,24.7,112.0,105,21.0,0.642,0.0,0.297,11.3,25.7,18.4,18.2,1.6,1.0,18.6,19.6,1.0,0.4,1.4,0.142,1.1,1.1,2.3,0.5,0,-2.792048393064419,1.3823680830775515,1
674,Greg Monroe\monrogr01,C,27,TOT,51,14,1040,10.3,18.2,0.565,0.0,0.0,0.0,10.3,18.2,0.565,4.1,5.6,0.7390000000000001,5.1,11.4,16.5,5.4,2.1,1.1,4.4,4.5,24.7,112.0,105,23.0,0.58,0.0,0.348,11.9,24.4,18.2,20.5,2.8,2.9,17.4,24.9,0.8,1.1,2.0,0.193,0.2,4.3,4.5,0.8,0,-2.651952734123638,1.5408051126236753,1
675,Greg Monroe\monrogr01,C,27,MIL,5,0,79,10.1,20.8,0.485,0.0,0.0,0.0,10.1,20.8,0.485,1.3,2.5,0.5,3.8,12.0,15.8,3.2,0.0,0.0,3.8,4.4,21.5,94.0,112,21.2,0.598,0.0,0.308,11.4,25.2,18.3,18.7,2.1,1.8,17.7,22.4,1.8,1.6,3.4,0.155,0.1,2.3,2.4,1.2,0,-2.5436604957941893,0.5717432172842446,6
676,Greg Monroe\monrogr01,C,27,MIL,5,0,79,10.1,20.8,0.485,0.0,0.0,0.0,10.1,20.8,0.485,1.3,2.5,0.5,3.8,12.0,15.8,3.2,0.0,0.0,3.8,4.4,21.5,94.0,112,11.1,0.489,0.0,0.121,8.9,28.1,18.5,10.2,0.0,0.0,14.7,23.3,-0.1,0.0,0.0,-0.013,-6.1,-3.5,-9.6,-0.2,0,-1.5617248937169281,0.5741240311592012,6
677,Greg Monroe\monrogr01,C,27,MIL,5,0,79,10.1,20.8,0.485,0.0,0.0,0.0,10.1,20.8,0.485,1.3,2.5,0.5,3.8,12.0,15.8,3.2,0.0,0.0,3.8,4.4,21.5,94.0,112,21.0,0.642,0.0,0.297,11.3,25.7,18.4,18.2,1.6,1.0,18.6,19.6,1.0,0.4,1.4,0.142,1.1,1.1,2.3,0.5,0,-2.57898725488201,0.19515162136728084,6
678,Greg Monroe\monrogr01,C,27,MIL,5,0,79,10.1,20.8,0.485,0.0,0.0,0.0,10.1,20.8,0.485,1.3,2.5,0.5,3.8,12.0,15.8,3.2,0.0,0.0,3.8,4.4,21.5,94.0,112,23.0,0.58,0.0,0.348,11.9,24.4,18.2,20.5,2.8,2.9,17.4,24.9,0.8,1.1,2.0,0.193,0.2,4.3,4.5,0.8,0,-2.4388915959412296,0.3535886509134031,6
679,Greg Monroe\monrogr01,C,27,PHO,20,14,465,10.0,16.0,0.626,0.0,0.0,0.0,10.0,16.0,0.626,3.2,4.7,0.674,5.1,11.3,16.5,5.1,1.6,0.6,4.1,4.1,23.2,117.0,110,21.2,0.598,0.0,0.308,11.4,25.2,18.3,18.7,2.1,1.8,17.7,22.4,1.8,1.6,3.4,0.155,0.1,2.3,2.4,1.2,0,-2.840540453672368,1.8856432466394577,1
680,Greg Monroe\monrogr01,C,27,PHO,20,14,465,10.0,16.0,0.626,0.0,0.0,0.0,10.0,16.0,0.626,3.2,4.7,0.674,5.1,11.3,16.5,5.1,1.6,0.6,4.1,4.1,23.2,117.0,110,11.1,0.489,0.0,0.121,8.9,28.1,18.5,10.2,0.0,0.0,14.7,23.3,-0.1,0.0,0.0,-0.013,-6.1,-3.5,-9.6,-0.2,0,-1.7659043865263484,1.8507104703974206,6
681,Greg Monroe\monrogr01,C,27,PHO,20,14,465,10.0,16.0,0.626,0.0,0.0,0.0,10.0,16.0,0.626,3.2,4.7,0.674,5.1,11.3,16.5,5.1,1.6,0.6,4.1,4.1,23.2,117.0,110,21.0,0.642,0.0,0.297,11.3,25.7,18.4,18.2,1.6,1.0,18.6,19.6,1.0,0.4,1.4,0.142,1.1,1.1,2.3,0.5,0,-2.875867212760189,1.509051650722493,1
